P#,Country,Approval FY,Gender Tagged
P181603,Rwanda,2026,No
P505784,Guatemala,2026,Yes
P509413,El Salvador,2026,Yes
P510158,Ecuador,2026,Yes
P505490,Belize,2026,Yes
P502111,Romania,2025,Yes
P502565,Liberia,2025,Yes
P181344,Nepal,2025,Yes
P503960,Sierra Leone,2025,Yes
P181432,St. Lucia,2025,Yes
P504373,Marshall Islands,2025,Yes
P506285,Vanuatu,2025,Yes
P507259,Jamaica,2025,Yes
P500536,Bhutan,2025,Yes
P181256,Colombia,2025,Yes
P507916,Barbados,2025,Yes
P507116,Zambia,2025,Yes
P507912,Tanzania,2025,Yes
P507760,St. Vincent and the Grenadines,2025,Yes
P157489,Serbia,2017,No
P159351,Dominican Republic,2018,No
P161562,Kenya,2018,No
P166303,Romania,2018,No
P165928,Samoa,2019,No
P159710,Guatemala,2019,No
P160628,Cabo Verde,2019,No
P165056,Malawi,2019,No
P163939,Maldives,2020,No
P168580,Morocco,2020,Yes
P167941,Madagascar,2020,No
P170558,Tuvalu,2020,Yes
P168749,Vanuatu,2020,No
P171465,Grenada,2020,Yes
P172567,Honduras,2020,No
P173008,Bhutan,2020,No
P169956,St. Vincent and the Grenadines,2020,No
P166788,Nepal,2020,Yes
P173558,Fiji,2021,Yes
P171764,Samoa,2021,No
P172614,Tuvalu,2022,Yes
P172742,Tonga,2022,Yes
P174191,Panama,2022,Yes
P176650,Colombia,2022,Yes
P176930,Vanuatu,2022,Yes
P177001,Honduras,2022,Yes
P177125,Philippines,2022,Yes
P177807,Dominica,2022,Yes
P176148,Cabo Verde,2023,Yes
P179861,Costa Rica,2023,Yes
P178122,Dominican Republic,2023,Yes
P500609,Fiji,2024,Yes
P179263,Mauritania,2024,Yes
P177748,"Gambia, The",2024,Yes
P179820,Tuvalu,2024,Yes
P179813,Tonga,2024,Yes
P177794,Kiribati,2024,Yes
P180585,Philippines,2024,Yes
P180286,Benin,2024,Yes
P178676,Solomon Islands,2024,Yes
P175072,Malawi,2024,Yes
