Project ID,Country,FY,Adaptation CCB %,Mitigation CCB %,Total CCB %,Fig_id
P165056,Malawi,FY19,100,0,100,Malawi (FY19)
P161562,Kenya,FY18,92.86,7.14,100,Kenya (FY18)
P167941,Madagascar,FY20,100,0,100,Madagascar (FY20)
P148861,Seychelles,FY15,66.4,0,66.4,Seychelles (FY15)
P160628,Cabo Verde,FY19,100,0,100,Cabo Verde (FY19)
P168749,Vanuatu,FY20,83.3,0,83.3,Vanuatu (FY20)
P176930,Vanuatu,FY22,75,0,75,Vanuatu (FY22)
P170558,Tuvalu,FY20,35.85185185,7.481481481,43.33333333,Tuvalu (FY20)
P165928,Samoa,FY19,35.76642336,0,35.76642336,Samoa (FY19)
P171764,Samoa,FY21,21.44,0,21.44,Samoa (FY21)
P173558,Fiji,FY21,25,0,25,Fiji (FY21)
P172614,Tuvalu,FY22,50.05714286,0,50.05714286,Tuvalu (FY22)
P172742,Tonga,FY22,25.05263158,0,25.05263158,Tonga (FY22)
P177125,Philippines,FY22,100,0,100,Philippines (FY22)
P155656,Philippines,FY16,100,0,100,Philippines (FY16)
P125943,Philippines,FY12,100,0,100,Philippines (FY12)
P166303,Romania,FY18,75.00101408,0,75.00101408,Romania (FY18)
P157489,Serbia,FY17,99.98571429,0,99.98571429,Serbia (FY17)
P176650,Colombia,FY22,60.71333333,17.85666667,78.57,Colombia (FY22)
P126583,Colombia,FY13,100,0,100,Colombia (FY13)
P172567,Honduras,FY20,82.49579832,0.831932773,83.32773109,Honduras (FY20)
P174191,Panama,FY22,87.5,0,87.5,Panama (FY22)
P177001,Honduras,FY22,85,0,85,Honduras (FY22)
P159351,Dominican Republic,FY18,100,0,100,Dominican Republic (FY18)
P159710,Guatemala,FY19,91.66,0,91.66,Guatemala (FY19)
P122738,Panama,FY12,100,0,100,Panama (FY12)
P122640,El Salvador,FY11,83.5,0,83.5,El Salvador (FY11)
P171465,Grenada,FY20,100,0,100,Grenada (FY20)
P177807,Dominica,FY22,76.65,15,91.65,Dominica (FY22)
P169956,St. Vincent and the Grenadines,FY20,24.775,1.125,25.9,St. Vincent and the Grenadines (FY20)
P149831,Peru,FY15,20,0,20,Peru (FY15)
P120860,Peru,FY11,0,0,0,Peru (FY11)
P168580,Morocco,FY20,100,0,100,Morocco (FY20)
P173008,Bhutan,FY20,48.98648649,14.59459459,63.58108108,Bhutan (FY20)
P163939,Maldives,FY20,79.3,12.5,91.8,Maldives (FY20)
P147454,Sri Lanka,FY14,100,0,100,Sri Lanka (FY14)
P166788,Nepal,FY20,50,12.5,62.5,Nepal (FY20)
P175072,Malawi,FY24,16.75182482,11.75182482,28.50364964,Malawi (FY24)
P179263,Mauritania,FY24,26.25,0,26.25,Mauritania (FY24)
P179813,Tonga,FY24,37,0,37,Tonga (FY24)
P500609,Fiji,FY24,16.6664,0,16.6664,Fiji (FY24)
P507912,Tanzania,FY25,42.5,17.5,60,Tanzania (FY25)
P179861,Costa Rica,FY23,62.5,0,62.5,Costa Rica (FY23)
P176148,Cabo Verde,FY23,23.6952381,0,23.6952381,Cabo Verde (FY23)
P178122,Dominican Republic,FY23,59,1,60,Dominican Republic (FY23)
P177748,"Gambia, The",FY24,15,1.25,16.25,"Gambia, The (FY24)"
P177794,Kiribati,FY24,17.71,1.88,19.59,Kiribati (FY24)
P178676,Solomon Islands,FY24,23.44,7.5,30.94,Solomon Islands (FY24)
P180585,Philippines,FY24,80,0,80,Philippines (FY24)
P180286,Benin,FY24,37,0,37,Benin (FY24)
P179820,Tuvalu,FY24,57.50434783,0,57.50434783,Tuvalu (FY24)
P181432,St. Lucia,FY25,90,0,90,St. Lucia (FY25)
P507760,St. Vincent and the Grenadines,FY25,80,10,90,St. Vincent and the Grenadines (FY25)
P507916,Barbados,FY25,88,2,90,Barbados (FY25)
P507116,Zambia,FY25,25.781,24.219,50,Zambia (FY25)
P502565,Liberia,FY25,23.33333333,5.555,28.88833333,Liberia (FY25)
P503960,Sierra Leone,FY25,32.7775,11.66625,44.44375,Sierra Leone (FY25)
P502111,Romania,FY25,64.1666,18.3334,82.5,Romania (FY25)
P181256,Colombia,FY25,56.4285,18.5715,75,Colombia (FY25)
P507259,Jamaica,FY25,21.42864583,14.284375,35.71302083,Jamaica (FY25)
P500536,Bhutan,FY25,51.39,17.2225,68.6125,Bhutan (FY25)
P181344,Nepal,FY25,72,0,72,Nepal (FY25)
P506285,Vanuatu,FY25,22.85666667,0,22.85666667,Vanuatu (FY25)
P504373,Marshall Islands,FY25,52,2,54,Marshall Islands (FY25)
P505784,Guatemala,FY26,50.83325581,0.833255814,51.66651163,Guatemala (FY26)
P509413,El Salvador,FY26,31.42857143,0,31.42857143,El Salvador (FY26)
P505490,Belize,FY26,68.335,1.665,70,Belize (FY26)
P181603,Rwanda,FY26,54.37535211,6.25,60.62535211,Rwanda (FY26)
